GBM.MES2	GBM.MES1	GBM.AC	GBM.OPC	GBM.NPC1	GBM.NPC2	HNSCC.PEMT	HNSCC.Epidif.1	HNSCC.Epidif.2	HNSCC.Stress	HNSCC.Hypoxia	melanoma.MITF.program	melanoma.AXL.program	melanoma.Inflammatory	ovarian.ifn
PGK1	ACTN1	PPAP2B	RTKN	DBN1	KIF5C	PLAU	CYB5R1	MRPL12	TOB1	SEMA4B	MLPH	FN1	MAP1LC3B	
EGLN3	PRDX6	ANXA5	GPM6B	HIP1	DDAH2	LGALS1	DSC2	HSD17B10	ID2	CA9	PLK2	S100A16	SOD2	
SLC6A6	IGFBP7	TSPAN7	LMF1	ABAT	TUBB2A	PSMD2	S100P	LGALS7B	KLF6	CIB1	CHL1	CRIP1	NR4A3	
CA9	SERPINE1		ALCAM	ELAVL4	LBH	CD63	GRHL3	THBD	DNAJA1	SPRR1B	RDH11	SLC25A37	TUBB3	
BNIP3L	PLP2		PGRMC1	LMF1	LOC150568	HERPUD1	SPINT1	EXOSC4	TNFAIP3	PLIN2	LINC00473	LCN2	CKS2	
RPL21	MGP		HRASLS	GRIK2	TCF4	TPM1	SDR16C5	APRT	BHLHE40	WSB1	RELL1	ENO2	DDIT3	
TRAM1	CLIC4		BCAS1	SERINC5	GNG3	SLC39A14	SPRR1A	ANXA8L1	NXF1	HILPDA	C21orf91	PFKFB4	BRD2	
UFM1	GFPT2		RAB31	TSPAN13	NFIB	C1S	WBP2	ATP5G1	FOSL1	NOL3	SCAMP3	SLC16A3	IER2	
ASNS	GSN		PLLP	ELMO1	DPYSL5	MMP1	GRB7	S100A2	IER3	PFKFB3	SGK3	DBNDD2	PLK3	
GOLT1B	NNMT		FABP5	GLCCI1	CRABP1	EXT2	KLK7	TBRG4	DUSP6	IFNGR1	ABCB5	LOXL2	AHR	
ANGPTL4	TUBA1C		NLGN3	SEZ6L	DBN1	COL4A2	TMEM79	MAL2	HCAR2	H1F0	SLC7A5	CFB	TMEM87B	
SLC39A14	GJA1		SERINC5	LRRN1	NFIX	PRSS23	SBSN	NHP2L1	IL8	KDM3A	SIRPA	CADM1	TOB2	
CDKN1A	TNFRSF1A		EPB41L2	SEZ6	CEP170	SLC7A8	PIM1	DDX39A	CYR61	BCL6	WDR91	LTBP3	EIF4A3	
HSPA9	WWTR1		GPR37L1	SOX11	BLCAP	SLC31A2	CLIC3	ZNF750	EFNA1	BNIP3L	PIGS	CD109	PCOLCE	
						ARPC1B	MALAT1	UBE2L6	C1R	ZFP36L1	CYP27A1	AIM2	SRSF3	
						APP	TRIP10	WDR74	PHLDA2	HLA-E	TM7SF3	TCN1	PPP1R15B	
						MFAP2	CAST	PPIF	DNAJB14	PIK3IP1	PTPRZ1	STRA6	IFRD1	
						MPZL1	TMPRSS4	PRMT5	MCL1	CLK3	CNDP2	C9orf89	HSPA1B	
						DFNA5	TOM1	VSNL1	HERPUD1	POLR1D	CTSK	DDR1	PAEP	
						MT2A	A2ML1	VPS25	ADRB2	BTG1	BNC2	TBC1D8	SRSF2	
						MAGED2	MBOAT2	SNRNP40	EIF4A3	NPC2	TOB1	METTL7B	YWHAG	
						ITGA6	LGALS3	ADRM1	TACSTD2	LAMP2	CELF2	GADD45A	DDX3X	
						FSTL1	ERO1L	NDUFS8	ID1	DSG2	ROPN1	UPP1	TUBB4B	
						TNFRSF12A	EHF	TUBA1C	ETS2	SAT1	TMEM98	SPATA13	MTHFD2	
						IL32	LCN2	TMEM79	CD74	AK4	CTSA	GLRX	MYO18A	
						COPB2	YPEL5	UQCRFS1	TRIB1	SMS	LIMA1	PPFIBP1	SERPINA3	
						PTK7	ALDH3B2	EIF3K	SLC20A1	FRMD6	CD99	PMAIP1	TRA2B	
						OCIAD2	DMKN	NME2	LOC284454	CLDND1	IGSF8	COL6A1	CHRAC1	
						TAX1BP3	PIK3IP1	PKP3	EIF1	ACP5	FDFT1	JMJD6	RBBP6	
						SEC13	CEACAM6	SERPINB1	CXCL2	AP1G2	CPNE3	CIB1	DNAJA4	
						SERPINH1	OVOL1	RPL26L1	BRD2	TPI1	SLC35B4	HPCAL1	RAB40B	
						TPM4	TMPRSS11E	EIF6	RASD1	PLAUR	EIF3E	MT2A	ALG13	
						MYH9	CD55	DSP	LDLR	BCL10	TNFRSF14	ZCCHC6	EGR1	
						ANXA8L1	KLK6	PHLDA2	EGR2	TMEM59	VAT1	IL8	RBM25	
						PLOD2	SPRR2D	S100A16	TFRC	HAS3	HPS5	TRIM47	PPP1R15A	
						GALNT2	NDRG2	LGALS7	ADM	SERINC1	CDK2	SESN2	LRIF1	
						LEPREL1	CD24	MT1X	TGIF1	C1orf43	CAPN3	PVRL2	TOB1	
						MAGED1	HIST1H1C	UQCRC2	HLA-DRB1	ENO1	SUSD5	DRAP1	LDHA	
						SLC38A5	LY6D	EIF3I	OSR2	CSDA	ADSL	MTHFD2	H1F0	
						FSTL3	CLIP1	MRPL24	SAA1	PFKP	PIGY	SDC4	FOS	
						CD99	HIST1H2AC	CCT7	ELF3	KLHL24	PON2	NNMT	UPP1	
						F3	BNIPL	RHOV	CLK1	HIST1H1C	SLC19A1	PPL	HNRNPA3	
						PSAP	QSOX1	ECE2	PER2	RBPJ	KLF6	TIMP1	SSH1	
						NMRK1	ECM1	SSBP1	KLF4	BHLHE40	MAGED1	RHOC	CEACAM1	
						FKBP9	DHRS3	POLDIP2	GPNMB	GAPDH	ERGIC3	GNB2	EFNA1	
						DSG2	PPP1R15A	FIS1	MXD1	UPK3BL	PIR	PDXK	AMD1	
						ECM1	TRIM16	CKMT1A	UBC	LTBP1	SLC25A5	CTNNA1	DUSP10	
						HTRA1	AQP3	GJB3	HLA-DRA	P4HA2	JUN	CD52	PROS1	
						SERINC1	IRF6	NME1	SLC3A2	HBP1	ARPC1B	SLC2A1	ATF4	
						CALU	CSTA	MRPS12	OVOL1	GRHL1	SLC19A2	BACH1	FTH1P3	
						TPST1	RAB25	GPS1	HIST1H2BK	DDIT3	AKR7A2	ARHGEF2	DHX40	
						PLOD3	HOPX	ALG3	DDX3X	ANXA1	HPGD	UBE2J1	ID2	
						IGFBP3	GIPC1	MRPL20	LAMB3	ITGA5	TBC1D7	CD82	CSF2RA	
						FRMD6	RAB11FIP1	EMC6	ZNF622	LOC100862671	TFAP2A	ZYX	CCNL1	
						CXCL14	CSTB	SRD5A1	TUBB2A	PLS3	PTPLAD1	P4HA2	SERTAD3	
						SERPINE2	KRT6C	PA2G4	ZFAND5	TSC22D2	SNCA	PEA15	JUN	
						RABAC1	PKP1	ECSIT	IRF6	GLTP	GNPTAB	GLRX2	ACSL1	
						TMED9	JUP	MRPL23	TNF	PLOD2	DNAJA4	HAPLN3	CCNI	
						NAGK	MAFF	NAA20	BTG1	PERP	APOE	RAB36	ENO2	
						BMP1	DSG3	HMOX2	LMNA	MALL	MTMR2	SOD2	GTF2B	
						ESYT1	AKTIP	COA4	MAP1LC3B	CTNND1	ATP6V1B2	ESYT2	NEK6	
						STON2	KLF3	DCXR	TSC22D3	KDM5B	C16orf62	IL18BP	EIF1B	
						TAGLN	HSPB8	PSMD8	PLK3	AHNAK2	EXOSC4	FGFRL1	ETF1	
						GJA1	H1F0	WBSCR22	KLHL21	PNRC1	STAM	PLEC	SRPX	
													GOLGA5	
													NFE2L3	
													HSPH1	
													IL1RAP	
													TCP1	
													PLK2	
													BACE2	
													SDF4	
													RCN1	
													AKIRIN1	
													CITED1	
													CIB1	
													TM4SF1	
													PELI1	
													FLOT2	
													SLC44A3	
													PJA2	
													CTSL1	
													NUCB1	
													CRELD1	
													MAF1	
													NASP	
													ARL4A	
													JMJD6	
													CLIC4	
													SLC16A3	
													SLC1A5	
													TNFRSF21	
													SURF4	
													TUBA1C	
													VDAC1	
													TNFRSF1A	
													ERP29	
													GEM	
													AAMP	
													ALX1	
													IDI1	
													DNAJA1	
													NEU1	
													HNRNPF	
													KLF10	
													PGAM1	
													ENTPD6	
													C4A	
													HNRNPA1	
													TCTN1	
													CCDC104	
													HIF1A	
													MANF	
													SERPINE1	
													C15orf57	
													PTP4A1	
													NAMPT	
													TSSC1	
													VPS4A	
													ALDOC	
													NOC2L	
													TRIB1	
													ODC1	
													P4HA1	
													USP11	
													LTA4H	
													HIST2H4A	
													HIST2H4B	
													UGDH	
													TUBB2A	
													IFNAR2	
													RAB34	
													DGCR2	
													POLDIP2	
													SPPL2A	
													SPP1	
													ADAM9	
													ARPC4	
													SLC1A4	
													HPCAL1	
													C17orf62	
													FAM174A	
													PTTG1	
													PLEKHB2	
													ATP6V1D	
													ADM	
													LITAF	
													COPS4	
													PNRC2	
													HIAT1	
													GCSH	
													NXF1	
													DDRGK1	
													PRDX4	
													KDELR2	
													PDCD6	
													ACLY	
													YPEL5	
													EFTUD2	
													BZW2	
													LGMN	
													TXNRD1	
													TATDN1	
													HMGN4	
													AHSA1	
													CLK1	
													AKR1B1	
													PPAPDC1B	
													HMG20B	
													SLC20A1	
													PFKP	
													APOA1BP	
													RNF185	
													DNAJB9	
													SLC25A39	
													BUD31	
													PEX10	
													SUMO3	
													LRRC41	
													RBMX	
													MALSU1	
													ZNF32	
													IFI35	
													LYPLA2	
													TNFRSF12A	
													RAP1B	
													VAMP3	
													PARL	
													ORMDL3	
													SFT2D2	
													YIPF3	
													SLC22A18	
													MAGEA12	
